Status,Folder,File,DOI,Zenodo_Title,Zenodo_URL,Published_Date
ONLINE,SST-38_Calculate-Knot-Helicity,SST-38_Calculate-Knot-Helicity.tex,10.5281/zenodo.17469806,Helicity in Swirl-String Theory (SST) Knot Systems,https://zenodo.org/records/17469806,2025-10-29
ONLINE,SST-39_Giant_Jets_and_Sprites,SST-39_Giant_Jets_and_Sprites.tex,10.5281/zenodo.17204169,Sprite and Giant Jet Energetics: SR → VAM → SST,https://zenodo.org/records/17204169,2025-09-26
ONLINE,SST-46_Relational_Time_of_Arrival,SST-46_Relational_Time-of-Arrival_from_an_Event_Current_and_its_Continuum_Clock_Limit.tex,10.5281/zenodo.18050158,Relational Time-of-Arrival as a Covariant Field Observable: From Event Currents to a Continuum Clock Limit,https://zenodo.org/records/18050158,2025-12-24
ONLINE,SST-50_Emergent_Equivalence_Principle,SST-50_Emergent_Equivalence_Principle-2.1.tex,10.5281/zenodo.18018114,Emergent Equivalence Principle from Relational Time and Connection Dynamics,https://zenodo.org/records/18018114,2025-12-22
ONLINE,SST-52_Kelvin_Mode_Suppression_Gap,SST-52_Kelvin_Mode_Suppression_in_Atomic_Orbitals_A_Vortex-Filament_Gap-DH.tex,10.5281/zenodo.18018084,Kelvin Mode Suppression in Atomic Orbitals: A Vortex-Filament Gap,https://zenodo.org/records/18018084,2025
HAS_DOI_NOT_ONLINE,SST-01_Rosetta,VAM_SST_Rosetta.tex,10.5281/zenodo.16980378,,,
HAS_DOI_DRAFT,SST-13_Gravitational_Modulation,SST-13_Gravitational_Modulation.tex,10.5281/zenodo.17877038,Gravitational Modulation in Swirl–String Theory,https://zenodo.org/deposit/17877038,
HAS_DOI_NOT_ONLINE,SST-15_Circulation_Loop_Thermodynamics,SST-15_Thermodynamics_of_a_Circulation-Loop_Gas_in_an_Incompressible_Fluid_and_the_Classical_Ultraviolet_Problem.tex,10.5281/zenodo.17629932,,,
HAS_DOI_DRAFT,SST-26_Neutrinos,SST-26_Neutrinos.tex,10.5281/zenodo.17877206,Neutrino Chirality from Swirl–Clock Geometry:\\ A First-Principles Derivation in Swirl–String Theory (SST),https://zenodo.org/deposit/17877206,
HAS_DOI_NOT_ONLINE,SST-27_Resonant_Topological_Vorticity,SST-27_Resonant_Topological_Vorticity_Confinement.tex,10.5281/zenodo.17877182,,,
HAS_DOI_DRAFT,SST-28_Time_from_Swirl,SST-28_Time_from_Swirl.tex,10.5281/zenodo.17877012,Time from Swirl: A Hydrodynamic Origin of Proper Time,https://zenodo.org/deposit/17877012,
HAS_DOI_NOT_ONLINE,SST-29_Kelvin_Mode_Suppression,SST-29_Suppression_of_Kelvin-Mode_Thermodynamics_in_Atomic_Orbitals_A_Gapped_Vortex-Filament_Resolution_in_Swirl-String_Theory.tex,10.5281/zenodo.18012159,,,
HAS_DOI_NOT_ONLINE,SST-31_Canon\previous,Swirl-String-Theory_Canon-v0.5.10_old.tex,10.5281/zenodo.17155748,,,
HAS_DOI_NOT_ONLINE,SST-31_Canon,Swirl-String-Theory_Canon-v0.7.5.tex,10.5281/zenodo.17899592,,,
HAS_DOI_NOT_ONLINE,SST-31_Canon\previous,Swirl-String-Theory_Canon-v0.3.4.tex,10.5281/zenodo.17014358,,,
HAS_DOI_NOT_ONLINE,SST-31_Canon\previous,Swirl-String-Theory_Canon-v0.4.4.tex,10.5281/zenodo.17101690,,,
HAS_DOI_NOT_ONLINE,SST-31_Canon\previous,Swirl-String-Theory_Canon-v0.5.5.tex,10.5281/zenodo.17052966,,,
HAS_DOI_NOT_ONLINE,SST-31_Canon\previous,Swirl-String-Theory_Canon-v0.5.11.tex,10.5281/zenodo.17607006,,,
HAS_DOI_NOT_ONLINE,SST-31_Canon\previous,Swirl-String-Theory_Canon-v0.5.7.tex,10.5281/zenodo.17101841,,,
NEEDS_DOI,SST-03_Physics_Anomalies,SST-03_Anomalies.tex,,,,
NEEDS_DOI,SST-14_Gravitational_Behavior,SST-14_Gravitational_Behavior_Controlling.tex,,,,
NEEDS_DOI,SST-16_Non_Thermal_Field_Coupling,SST-16_Non_Thermal_Field_Coupling.tex,,,,
NEEDS_DOI,SST-18_Unifying_EM_Gravity,SST-18_Unifying_Electromagnetism_Gravity_and_Quantum_Geometry_via_Incompressible_Hydrodynamics.tex,,,,
NEEDS_DOI,SST-20_Short_Hydrodynamic_Origin,SST-20_Short_Hydrodynamic_Origin_of_the_Hydrogen_Ground_State.tex,,,,
NEEDS_DOI,SST-22_Hydrodynamic_Origin_Hydrogen_Old,Hydrodynamic_Origin_of_the_Hydrogen_Ground_State.tex,,,,
NEEDS_DOI,SST-22_Hydrodynamic_Origin_Hydrogen_Old,SST-22_Hydrodynamic_Origin_of_the_Hydrogen_Ground_State.tex,,,,
NEEDS_DOI,SST-23_Dual_Vacuum_Unification,SST-23_Hydrodynamic_Dual-Vacuum_Unification.tex,,,,
NEEDS_DOI,SST-25_Hydrogenic_Orbitals,SST-25_Hydrogenic_Orbitals.tex,,,,
NEEDS_DOI,SST-30_Invariant_Atom_Masses,SST-30_Invariant_Atom_Masses.tex,,,,
NEEDS_DOI,SST-32_Canonical_Fluid_Reformulation_of_Relativity_and_Quantum_Structure,SST-32_Canonical_Fluid_Reformulation_of_Relativity_and_Quantum_Structure_long.tex,,,,
NEEDS_DOI,SST-33_Heat_Transport,SST-Entropy.tex,,,,
NEEDS_DOI,SST-33_Heat_Transport,SST-Thermodynamics_of_the_Swirl_Condensate.tex,,,,
NEEDS_DOI,SST-35_Resonance-matched-excitation,SST-35_resonance_overlap_sst_methods.tex,,,,
NEEDS_DOI,SST-36_Wave-Particle_Duality,SST-36_Wave-Particle_Duality.tex,,,,
NEEDS_DOI,SST-40_Photons_and_Lazers,SST-40_Photon_and_Lasers_EN.tex,,,,
NEEDS_DOI,SST-40_Photons_and_Lazers,SST-Photonen_en_Lazers.tex,,,,
NEEDS_DOI,SST-41_Water_and_time,SST-41_VAM-17.7Fluid_Fine-Structure.tex,,,,
NEEDS_DOI,SST-41_Water_and_time,VAM-17.6.tex,,,,
NEEDS_DOI,SST-41_Water_and_time,VAM-17.8.tex,,,,
NEEDS_DOI,SST-42_Spiraling_Light,SST-42_Spiraling_Light.tex,,,,
NEEDS_DOI,SST-45_Golden_Rapidity,SST-45_golden_rapidity_sst.tex,,,,
NEEDS_DOI,SST-46_Relational_Time_of_Arrival,journal.tex,,,,
NEEDS_DOI,SST-47_Emergent_InverseSquare_Followup,SST-47_Emergent_InverseSquare_SST_Followup.tex,,,,
NEEDS_DOI,SST-48_Emergent_InverseSquare_Law,SST-48_Emergent_Inverse-Square_Law_from_Hydrodynamic.tex,,,,
NEEDS_DOI,SST-49_Emergent_InverseSquare_Derivations,SST-49_Emergent_Inverse-Square_Law_from_Hydrodynamic_Derivations.tex,,,,
NEEDS_DOI,SST-50_Emergent_Equivalence_Principle,journal.tex,,,,
NEEDS_DOI,SST-51_Variational_Electron_Magnetic_Moment,journal.tex,,,,
NEEDS_DOI,SST-51_Variational_Electron_Magnetic_Moment,SST-51_A_Variational_Origin_of_the_Electron_Magnetic_Moment.tex,,,,
NEEDS_DOI,SST-52_Kelvin_Mode_Suppression_Gap,journal.tex,,,,
NEEDS_DOI,SST-53_Thermodynamic_Origin_of_Quantization,SST-53_Thermodynamic_Origin_of_Quantization.tex,,,,
NEEDS_DOI,SST-54_Delay-induced_mode_discreteness_in_nonlinear_ring_systems,SST-54-Old version.tex,,,,
NEEDS_DOI,SST-54_Delay-induced_mode_discreteness_in_nonlinear_ring_systems,SST-54_Delay-induced_mode_discreteness_in_nonlinear_ring_systems.tex,,,,
NEEDS_DOI,SST-54_Delay-induced_mode_discreteness_in_nonlinear_ring_systems,SST-54_DIFFERNCE_Delay-induced_mode_discreteness_in_nonlinear_ring_systems.tex,,,,
NEEDS_DOI,SST-55_Delay-Induced_Mode_Selection_in_Circulating_Feedback_Systems,SST-55_Delay-Induced_Mode_Selection_in_Circulating_Feedback_Systems.tex,,,,
NEEDS_DOI,SST-56_superfluid,SST-56_superfluid.tex,,,,
NEEDS_DOI,SST-57_FermionMasses,SST-57_FermionMasses.tex,,,,
NEEDS_DOI,SST-58_vacuum_stress_energy_engineering,SST-58_vacuum_stress_energy_engineering.tex,,,,
NEEDS_DOI,SST-59_Atomic_Masses_from_Topological_Invariants_of_Knotted_Field_Configurations,SST-59_Atomic_Masses_from_Topological_Invariants_of_Knotted_Field_Configurations.tex,,,,
NEEDS_DOI,SST-60_Swirl-Clock_Phase_Locking_in_Closed_Circulation_Loops,SST-60_Swirl-Clock_Phase_Locking_in_Closed_Circulation_Loops.tex,,,,
NEEDS_DOI,SST-61_Topological_Stabilization_Ideal_Flows,SST-61_topological_stabilization_ideal_flows.tex,,,,
NEEDS_DOI,SST-62_SR_GR_ARE_ONE,SST-62_SR_GR_ARE_ONE.tex,,,,
NEEDS_DOI,SST-62_SR_GR_ARE_ONE,SST-64_Covariant.tex,,,,
NEEDS_DOI,SST-63_Holograpic,SST-63_Holograpic.tex,,,,
NEEDS_DOI,SST-41_Water_and_time\old,VAM-17.7-WaterImitatesTime.tex,,,,
NEEDS_DOI,SST-41_Water_and_time\old,VAM-17.7.2.tex,,,,
NEEDS_DOI,SST-36_Wave-Particle_Duality\SST-DoubleSlit,dslit.tex,,,,
NEEDS_DOI,SST-33_Heat_Transport\tests,SST-HEAT_Compare.tex.tex,,,,
NEEDS_DOI,SST-32_Canonical_Fluid_Reformulation_of_Relativity_and_Quantum_Structure\SST-ElectroMagnetismGravity,EM.tex,,,,
NEEDS_DOI,SST-32_Canonical_Fluid_Reformulation_of_Relativity_and_Quantum_Structure\SST-ElectroMagnetismGravity,EM_G2.tex,,,,
NEEDS_DOI,SST-32_Canonical_Fluid_Reformulation_of_Relativity_and_Quantum_Structure\SST-ElectroMagnetismGravity,EM_G3.tex,,,,
NEEDS_DOI,SST-32_Canonical_Fluid_Reformulation_of_Relativity_and_Quantum_Structure\SST-ElectroMagnetismGravity,EM_G4.tex,,,,
