% Knot 3_1p (DHF)
% process with  doknotscad.d4.1
% calculated with knotadjust.d4.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
       0.000       0.000       0.000      -0.017       0.012       0.000
       0.000      -0.004       0.000       0.000       0.000       0.000

% Knot Torus(2,5)
% created by knotadjust.torus
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(t) = sum_ja_x(j)cos(jt))+b_x(j)sin(jt)  etc
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.463125    0.000000
    0.000000   -0.215579    0.215579    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.854245    0.000000    0.000000    0.854245    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.000000    0.225000   -0.225000    0.000000    0.000000    0.000000

% Knot 5_1 (cinquefoil knot) by knotodd1.f
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.860474    0.000000    0.000000    0.860474    0.000000    0.000000
    0.000000    0.101933    0.101933    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.346981    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.000000    0.224909   -0.224909    0.000000    0.000000    0.000000

% Knot 6_1 from Knotserver (stevedore knot)
% calculated with knotadjust.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
    0.000000    0.223730    0.048025    0.000000    0.000000   -0.001500
    0.000000   -0.058767    0.364032    0.000000    0.000000   -0.007965
    0.000000    0.211567   -0.094214    0.000000    0.000000    0.044778
    0.000000    0.103083    0.012387    0.000000    0.000000   -0.016414
    0.000000   -0.026201    0.007574    0.000000    0.000000   -0.017357
    0.000000   -0.023193    0.003463    0.000000    0.000000    0.097572
    0.000000    0.001472   -0.035689    0.000000    0.000000    0.024968
    0.000000   -0.013059   -0.006593    0.000000    0.000000    0.028076
    0.000000   -0.006925   -0.015013    0.000000    0.000000   -0.014002
    0.000000   -0.016591    0.000855    0.000000    0.000000    0.001668

% Knot 6_2 from Knotserver
% process with doknotscad
% calculated with knotadjust.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
    0.000000    0.007472    0.063962    0.000000    0.000000   -0.006663
    0.000000    0.169559   -0.396626    0.000000    0.000000    0.000971
    0.000000    0.203968   -0.023481    0.000000    0.000000   -0.005730
    0.000000   -0.069280   -0.011409    0.000000    0.000000    0.015494
    0.000000    0.012492    0.025433    0.000000    0.000000    0.029862
    0.000000    0.003994   -0.040066    0.000000    0.000000    0.108082
    0.000000   -0.009290    0.020987    0.000000    0.000000   -0.025255
    0.000000   -0.022590    0.013986    0.000000    0.000000    0.000491
    0.000000   -0.000035    0.004663    0.000000    0.000000    0.005368
    0.000000    0.000137   -0.009463    0.000000    0.000000   -0.002071

% Knot 6_2d
%%mns=10
%created with makefile.d4, level =  4 seed =    276551
% adjusted with knotadjust.f
% calculated with knotadjust.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
    0.000000    0.000000    0.000000
    0.000000   -0.008900   -0.106450    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.144705
    0.000000   -0.153498   -0.061067    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.069024
    0.000000   -0.154080   -0.098726    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000   -0.073844
    0.000000    0.032799    0.036572    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.002462
    0.000000   -0.015252    0.000187    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000   -0.007937

% Knot 6_2p (DHF)
% adjusted with knotadjust.1.f
% shortened with knotshorten.f
% calculated with knotadjust.1.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
    0.000000    0.000000    0.000000
    0.101500    0.063367    0.000000    0.000000    0.018163   -0.016010
    0.000000    0.000000   -0.360746   -0.006923    0.000000    0.000000
   -0.058576   -0.047834    0.000000    0.000000    0.050709   -0.083507
    0.000000    0.000000    0.008628   -0.021589    0.000000    0.000000
    0.010809   -0.123037    0.000000    0.000000    0.101439   -0.013338
    0.000000    0.000000   -0.044936    0.021844    0.000000    0.000000
   -0.019292    0.002397    0.000000    0.000000   -0.040565   -0.010632
    0.000000    0.000000   -0.003736   -0.004946    0.000000    0.000000
    0.021062   -0.027679    0.000000    0.000000   -0.001380    0.021509
    0.000000    0.000000   -0.001866    0.020238    0.000000    0.000000


% Knot d4399481
% created with makefile.d4, level =  5
% adjusted with knotadjust.f
% calculated with knotadjust.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
    0.000000    0.000000    0.000000
    0.000000    0.082189   -0.032268    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000   -0.117712
    0.000000   -0.194938   -0.089815    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.163844
    0.000000    0.127450    0.111304    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.021768
    0.000000    0.056299    0.041402    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.008305
    0.000000    0.011943    0.037485    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.007881

% Knot d4413715 (6_3z)
% created with makefile.z4, level =  4
% process with  doknotscad.z4
% adjusted with knotadjust.z4.f
% calculated with knotadjust.z4.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
    0.048379    0.122795    0.122795   -0.048379    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.275539   -0.100096
    0.043835    0.000683   -0.000683    0.043835    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   -0.131072    0.099371    0.099371    0.131072    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.052329   -0.035160
    0.000780    0.006824   -0.006824    0.000780    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.018529    0.004634    0.004634   -0.018529    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000   -0.003655   -0.004689


% Knot 7_1 by knotodd1.f
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.980986    0.000000    0.000000    0.980986    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.000000    0.126504    0.126504    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.288073    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.000000    0.143681   -0.143681    0.000000    0.000000    0.000000

% Knot 7_1p (DHF)
% process with  doknotscad.d4
% calculated with knotadjust.d4.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
       0.000       0.000       0.000       0.151      -0.018       0.000
       0.000       0.358       0.000       0.000       0.001       0.000
       0.000       0.000       0.000      -0.089       0.031       0.000
       0.000      -0.050       0.000       0.000       0.000       0.000
       0.000       0.000       0.000       0.015      -0.008       0.000
       0.000      -0.022       0.000       0.000       0.000       0.000
       0.000       0.000       0.000       0.032      -0.023       0.000
       0.000       0.016       0.000       0.000       0.000       0.000
       0.000       0.000       0.000      -0.037       0.029       0.000
       0.000       0.003       0.000       0.000       0.000       0.000
       0.000       0.000       0.000      -0.039       0.039       0.000
       0.000      -0.005       0.000       0.000       0.000       0.000
       0.000       0.000       0.000      -0.010       0.012       0.000
       0.000       0.001       0.000       0.000       0.000       0.000
       0.000       0.000       0.000       0.003      -0.003       0.000
       0.000       0.001       0.000       0.000       0.000       0.000
       0.000       0.000       0.000      -0.001       0.001       0.000
       0.000      -0.001       0.000       0.000       0.000       0.000
       0.000       0.000       0.000      -0.001       0.001       0.000
       0.000       0.002       0.000       0.000       0.000       0.000

% Knot 7_2 (from Knotserver)
% process with doknotscad.forcexzsymm
% x-z p-symmetrized by knotxzsymm.f
% calculated with knotadjust.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
    0.170716    0.149436    0.000000    0.000000   -0.020303   -0.014599
    0.000000    0.000000   -0.094266   -0.317636    0.000000    0.000000
    0.135040   -0.183317    0.000000    0.000000    0.002979    0.003405
    0.000000    0.000000   -0.013075   -0.065959    0.000000    0.000000
    0.017283    0.078750    0.000000    0.000000    0.012496   -0.017245
    0.000000    0.000000    0.005049   -0.000092    0.000000    0.000000
   -0.008903    0.008188    0.000000    0.000000    0.084884    0.025758
    0.000000    0.000000    0.019226    0.028997    0.000000    0.000000
   -0.009165    0.013821    0.000000    0.000000   -0.010294   -0.016399
    0.000000    0.000000    0.008457   -0.010877    0.000000    0.000000

% Knot d415810
% created with makefile.d4, level =  6
% adjusted with knotadjust.f
% calculated with knotadjust.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
    0.000000    0.000000    0.000000
    0.000000    0.246029    0.008899    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.060906
    0.000000    0.202914    0.071561    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.062936
    0.000000   -0.076598    0.092453    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.115953
    0.000000    0.017878    0.053442    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000   -0.032284
    0.000000   -0.005471   -0.051654    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000   -0.014551

% Knot 7_2r (DHF)
% process with  doknotscad.1
% calculated with knotadjust.1.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
    0.000000    0.000000    0.000000
    0.000000    0.068772    0.026838    0.000000    0.000000    0.033865
    0.000000    0.011867    0.337998    0.000000    0.000000   -0.000994
    0.000000    0.256802   -0.082682    0.000000    0.000000    0.028725
    0.000000    0.060603    0.002293    0.000000    0.000000   -0.019524
    0.000000   -0.019154    0.013061    0.000000    0.000000   -0.001482
    0.000000   -0.009411    0.016286    0.000000    0.000000    0.102170
    0.000000    0.021513   -0.026319    0.000000    0.000000    0.008518
    0.000000   -0.008310   -0.004468    0.000000    0.000000    0.011461
    0.000000   -0.019618   -0.007087    0.000000    0.000000    0.000436
    0.000000   -0.011821   -0.004998    0.000000    0.000000    0.013000

% Knot 7_3 (from Knotserver)
% process with doknotscad.forcexzsymm
% x-z r-symmetrized by knotxzsymm.f
% calculated with knotadjust.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
    0.000000   -0.048312   -0.084527    0.000000    0.000000    0.006108
    0.000000   -0.251496    0.313813    0.000000    0.000000   -0.027058
    0.000000    0.002507    0.119002    0.000000    0.000000   -0.013362
    0.000000   -0.108779    0.006539    0.000000    0.000000   -0.043465
    0.000000    0.060240   -0.021419    0.000000    0.000000    0.004007
    0.000000    0.028819   -0.021321    0.000000    0.000000    0.005173
    0.000000   -0.046643    0.035020    0.000000    0.000000    0.063657
    0.000000    0.004398   -0.001865    0.000000    0.000000   -0.029369
    0.000000    0.010377    0.018618    0.000000    0.000000    0.018922
    0.000000    0.010218   -0.009222    0.000000    0.000000    0.025032


% Knot 7_3d query
% calculated with knotadjust.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
    0.000000    0.000000    0.000000
   -0.077612    0.000000    0.000000    0.000000    0.000000   -0.029191
    0.000000    0.000000    0.000000    0.045517    0.000000    0.000000
    0.123627    0.000000    0.000000    0.000000    0.000000    0.077552
    0.000000    0.000000    0.000000    0.122757    0.000000    0.000000
   -0.050003    0.000000    0.000000    0.000000    0.000000   -0.068726
    0.000000    0.000000    0.000000   -0.046247    0.000000    0.000000
   -0.003329    0.000000    0.000000    0.000000    0.000000    0.031873
    0.000000    0.000000    0.000000   -0.009801    0.000000    0.000000
   -0.029736    0.000000    0.000000    0.000000    0.000000    0.031803
    0.000000    0.000000    0.000000   -0.013656    0.000000    0.000000
   -0.014403    0.000000    0.000000    0.000000    0.000000    0.017529
    0.000000    0.000000    0.000000    0.015713    0.000000    0.000000
   -0.005388    0.000000    0.000000    0.000000    0.000000    0.005050
    0.000000    0.000000    0.000000    0.004751    0.000000    0.000000
    0.000183    0.000000    0.000000    0.000000    0.000000   -0.002616
    0.000000    0.000000    0.000000   -0.004092    0.000000    0.000000
    0.003635    0.000000    0.000000    0.000000    0.000000    0.000666
    0.000000    0.000000    0.000000    0.001664    0.000000    0.000000
   -0.001580    0.000000    0.000000    0.000000    0.000000   -0.006029
    0.000000    0.000000    0.000000   -0.003045    0.000000    0.000000


% Knot 7_4 (DHF)
% The simplest type of endless or eternal knot
% Symmetry D4, period 2, strongly invertible
% calculated with knotadjust.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
    0.000000    0.000000    0.000000
    0.000000    0.000000   -0.044047    0.000000    0.000000    0.002808
    0.000000   -0.443763    0.000000    0.000000    0.000000    0.000000
    0.000000    0.000000   -0.249977    0.000000    0.000000   -0.004896
    0.000000   -0.014163    0.000000    0.000000    0.000000    0.000000
    0.000000    0.000000    0.018832    0.000000    0.000000    0.014342
    0.000000    0.032409    0.000000    0.000000    0.000000    0.000000
    0.000000    0.000000    0.026204    0.000000    0.000000    0.092288
    0.000000   -0.014146    0.000000    0.000000    0.000000    0.000000
    0.000000    0.000000   -0.006331    0.000000    0.000000   -0.005517
    0.000000    0.001665    0.000000    0.000000    0.000000    0.000000



























