object_id,object_type,component_count,epsilon_SE,model_id,chi_each,chi_total_per_component,selected_n_per_component,exact_holonomy_all_components,integer_selection_all_components,charge_safe_all_components,sum_lk_signed_estimate,sum_lk_signed_integer,pairwise_cross_signed,sum_abs_lk_integer,pairwise_cross_abs,self_attachment_sum_abs,helicity_index_signed_pairwise_only,helicity_index_unoriented_abs_pairwise_only,higher_linking_term,audit_status,notes
knot_TL3,multicomponent_link,3,0.01,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1;1,1;1;1,YES,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,0.01,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1;-1,-1;-1;-1,YES,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,0.01,C3_UNCOMPENSATED_LOCAL_ONLY,1,0.990099009901;0.990099009901;0.990099009901,1;1;1,NO,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_SELECTION_STABLE_BUT_HOLONOMY_NOT_EXACT,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,0.01,C4_PARTIAL_COMPENSATION,1,0.99504950495;0.99504950495;0.99504950495,1;1;1,NO,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_SELECTION_STABLE_BUT_HOLONOMY_NOT_EXACT,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,0.01,C5_CHARGE_LEAK,1,0.999900990099;0.999900990099;0.999900990099,1;1;1,NO,YES,NO,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_CHARGE_LEAK_REJECT_OR_CONSTRAIN,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,0.01,C6_DECOHERED_RESIDUAL,1,0.995;0.995;0.995,1;1;1,NO,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_SELECTION_STABLE_BUT_HOLONOMY_NOT_EXACT,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,0.01,C7_Q_DEP_COMPENSATED,1,1;1;1,1;1;1,YES,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,0.01,C8_PASSIVE_TRANSIT_COMPENSATED_TEST,1,2.501;2.501;2.501,3;3;3,NO,NO,YES,-3.00000346258,-3,-6,3,6,9,3,15,,LINK_PASSIVE_TRANSIT_REJECTED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,0.1,C0_CANON_ATTACHED_BASELINE,1,1;1;1,1;1;1,YES,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,0.1,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1;1,1;1;1,YES,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,0.1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1;-1,-1;-1;-1,YES,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,0.1,C3_UNCOMPENSATED_LOCAL_ONLY,1,0.909090909091;0.909090909091;0.909090909091,1;1;1,NO,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_SELECTION_STABLE_BUT_HOLONOMY_NOT_EXACT,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,0.1,C4_PARTIAL_COMPENSATION,1,0.954545454545;0.954545454545;0.954545454545,1;1;1,NO,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_SELECTION_STABLE_BUT_HOLONOMY_NOT_EXACT,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,0.1,C5_CHARGE_LEAK,1,0.999090909091;0.999090909091;0.999090909091,1;1;1,NO,YES,NO,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_CHARGE_LEAK_REJECT_OR_CONSTRAIN,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,0.1,C6_DECOHERED_RESIDUAL,1,0.995;0.995;0.995,1;1;1,NO,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_SELECTION_STABLE_BUT_HOLONOMY_NOT_EXACT,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,0.1,C7_Q_DEP_COMPENSATED,1,1;1;1,1;1;1,YES,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,0.1,C8_PASSIVE_TRANSIT_COMPENSATED_TEST,1,2.501;2.501;2.501,3;3;3,NO,NO,YES,-3.00000346258,-3,-6,3,6,9,3,15,,LINK_PASSIVE_TRANSIT_REJECTED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,1,C0_CANON_ATTACHED_BASELINE,1,1;1;1,1;1;1,YES,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,1,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1;1,1;1;1,YES,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1;-1,-1;-1;-1,YES,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,1,C3_UNCOMPENSATED_LOCAL_ONLY,1,0.5;0.5;0.5,1;1;1,NO,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_SELECTION_STABLE_BUT_HOLONOMY_NOT_EXACT,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,1,C4_PARTIAL_COMPENSATION,1,0.75;0.75;0.75,1;1;1,NO,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_SELECTION_STABLE_BUT_HOLONOMY_NOT_EXACT,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,1,C5_CHARGE_LEAK,1,0.995;0.995;0.995,1;1;1,NO,YES,NO,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_CHARGE_LEAK_REJECT_OR_CONSTRAIN,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,1,C6_DECOHERED_RESIDUAL,1,0.995;0.995;0.995,1;1;1,NO,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_SELECTION_STABLE_BUT_HOLONOMY_NOT_EXACT,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,1,C7_Q_DEP_COMPENSATED,1,1;1;1,1;1;1,YES,YES,YES,-3.00000346258,-3,-6,3,6,3,-3,9,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_TL3,multicomponent_link,3,1,C8_PASSIVE_TRANSIT_COMPENSATED_TEST,1,2.501;2.501;2.501,3;3;3,NO,NO,YES,-3.00000346258,-3,-6,3,6,9,3,15,,LINK_PASSIVE_TRANSIT_REJECTED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
