x_m,g1,g1_fit,residual
7.1966527196652704e-07,2.8036059805921626e-01,2.7904232404904827e-01,1.3182740101679857e-03
7.3640167364016726e-07,2.6093487590467185e-01,2.6130897025613631e-01,-3.7409435146446013e-04
7.5313807531380748e-07,2.4506593680413008e-01,2.4386322983120756e-01,1.2027069729225182e-03
7.6987447698744759e-07,2.3777225215533004e-01,2.2672484987440686e-01,1.1047402280923185e-02
7.8661087866108770e-07,2.1130285993505354e-01,2.0991271001922737e-01,1.3901499158261721e-03
8.0334728033472792e-07,2.0173142322609799e-01,1.9344479999483127e-01,8.2866232312667210e-03
8.2008368200836814e-07,1.7652775261934450e-01,1.7733819927975764e-01,-8.1044666041313329e-04
8.3682008368200825e-07,1.6420068101571211e-01,1.6160905886225452e-01,2.5916221534575956e-03
8.5355648535564836e-07,1.5408147720991555e-01,1.4627258511772795e-01,7.8088920921876026e-03
8.7029288702928858e-07,1.0791551183645155e-01,1.3134302580908730e-01,-2.3427513972635747e-02
8.8702928870292880e-07,1.1056391540888162e-01,1.1683365821109862e-01,-6.2697428022169960e-03
9.0376569037656891e-07,9.4326982843813009e-02,1.0275677935524315e-01,-8.4297965114301376e-03
9.2050209205020903e-07,7.8271464535760546e-02,8.9123698387030076e-02,-1.0852233851269530e-02
9.3723849372384924e-07,7.0658041006900277e-02,7.5944731023239329e-02,-5.2866900163390518e-03
9.5397489539748946e-07,8.4607325866071087e-02,6.3229196092173909e-02,2.1378129773897178e-02
9.7071129707112968e-07,3.7069259005774305e-02,5.0985414135707702e-02,-1.3916155129933397e-02
9.8744769874476969e-07,5.2936902763252421e-02,3.9220708047710870e-02,1.3716194715541551e-02
1.0041841004184099e-06,2.0141572128180227e-03,2.7941405719348601e-02,-2.5927248506530578e-02
1.0209205020920501e-06,1.1571875841582063e-02,1.7152844657776625e-02,-5.5809688161945620e-03
1.0376569037656901e-06,8.8718740410837944e-03,6.8593785409082723e-03,2.0124955001755221e-03
1.0543933054393303e-06,5.5598482100273974e-03,-2.9356143327879253e-03,8.4954625428153227e-03
1.0711297071129706e-06,-1.7265830354092418e-03,-1.2229720744074635e-02,1.0503137708665393e-02
1.0878661087866108e-06,-9.1525914627544041e-03,-2.1021480450366663e-02,1.1868888987612259e-02
1.1046025104602510e-06,-3.4437650511437906e-02,-2.9310372332113692e-02,-5.1272781793242142e-03
1.1213389121338910e-06,-4.3792938051005176e-02,-3.7096798842595938e-02,-6.6961392084092380e-03
1.1380753138075312e-06,-3.1137483160091604e-02,-4.4382068818547782e-02,1.3244585658456178e-02
1.1548117154811714e-06,-5.3527266491708442e-02,-5.1168378711815024e-02,-2.3588877798934177e-03
1.1715481171548114e-06,-7.5948107393329467e-02,-5.7458792304878742e-02,-1.8489315088450725e-02
1.1882845188284517e-06,-7.9476014498326836e-02,-6.3257218975525775e-02,-1.6218795522801061e-02
1.2050209205020919e-06,-8.1446236731671673e-02,-6.8568390578216426e-02,-1.2877846153455247e-02
1.2217573221757321e-06,-6.4894501574445443e-02,-7.3397837011791062e-02,8.5033354373456188e-03
1.2384937238493723e-06,-7.4439328476908886e-02,-7.7751860545061446e-02,3.3125320681525600e-03
1.2552301255230123e-06,-6.9975942775926447e-02,-8.1637508973554734e-02,1.1661566197628287e-02
1.2719665271966525e-06,-9.0041302648732294e-02,-8.5062547682210776e-02,-4.9787549665215175e-03
1.2887029288702928e-06,-8.4104242756872630e-02,-8.8035430690177829e-02,3.9311879333051997e-03
1.3054393305439328e-06,-7.9508245554575863e-02,-9.0565270755009697e-02,1.1057025200433834e-02
1.3221757322175730e-06,-9.5512021349028239e-02,-9.2661808614533048e-02,-2.8502127344951916e-03
1.3389121338912132e-06,-8.5580480406193926e-02,-9.4335381445432090e-02,8.7549010392381638e-03
1.3556485355648534e-06,-1.0351300554020559e-01,-9.5596890618189809e-02,-7.9161149220157850e-03
1.3723849372384936e-06,-9.9785330003153858e-02,-9.6457768828425161e-02,-3.3275611747286965e-03
1.3891213389121336e-06,-1.0043655662578063e-01,-9.6929946684886137e-02,-3.5066099408944951e-03
1.4058577405857739e-06,-1.1264722098255930e-01,-9.7025818834390404e-02,-1.5621402148168900e-02
1.4225941422594141e-06,-8.7045377297183091e-02,-9.6758209703859982e-02,9.7128324066768912e-03
1.4393305439330541e-06,-1.0068594673742741e-01,-9.6140338939268710e-02,-4.5456077981586990e-03
1.4560669456066943e-06,-9.2420810352015395e-02,-9.5185786620821597e-02,2.7649762688062018e-03
1.4728033472803345e-06,-8.4042760985947651e-02,-9.3908458333011854e-02,9.8656973470642034e-03
1.4895397489539747e-06,-8.2898500189964697e-02,-9.2322550167359088e-02,9.4240499773943914e-03
1.5062761506276150e-06,-7.7669546257277941e-02,-9.0442513734628929e-02,1.2772967477350988e-02
1.5230125523012550e-06,-8.6907592987159443e-02,-8.8283021262168040e-02,1.3754282750085972e-03
1.5397489539748952e-06,-8.9300860552951430e-02,-8.5858930850670784e-02,-3.4419297022806467e-03
1.5564853556485354e-06,-8.1424411347641085e-02,-8.3185251963224599e-02,1.7608406155835143e-03
1.5732217573221754e-06,-1.0258727500324830e-01,-8.0277111217868000e-02,-2.2310163785380296e-02
1.5899581589958156e-06,-9.5819191880632620e-02,-7.7149718553145827e-02,-1.8669473327486794e-02
1.6066945606694558e-06,-9.0590163049747013e-02,-7.3818333834260286e-02,-1.6771829215486728e-02
1.6234309623430961e-06,-8.2162745867551054e-02,-7.0298233965409476e-02,-1.1864511902141578e-02
1.6401673640167363e-06,-5.7494276676359653e-02,-6.6604680571771796e-02,9.1104038954121433e-03
1.6569037656903763e-06,-7.3207593317708056e-02,-6.2752888312354788e-02,-1.0454705005353268e-02
1.6736401673640165e-06,-6.1295139183647068e-02,-5.8757993882573828e-02,-2.5371453010732403e-03
1.6903765690376567e-06,-3.2009327382408706e-02,-5.4635025762979059e-02,2.2625698380570353e-02
1.7071129707112967e-06,-5.2609348849672624e-02,-5.0398874768003990e-02,-2.2104740816686341e-03
1.7238493723849369e-06,-3.1877527488518069e-02,-4.6064265445982577e-02,1.4186737957464508e-02
1.7405857740585772e-06,-5.2541071708840099e-02,-4.1645728378974900e-02,-1.0895343329865199e-02
1.7573221757322174e-06,-3.7150793856799175e-02,-3.7157573428162519e-02,6.7795713633439503e-06
1.7740585774058576e-06,-4.3801808425270893e-02,-3.2613863967736391e-02,-1.1187944457534502e-02
1.7907949790794976e-06,-3.0082704272117677e-02,-2.8028392147299824e-02,-2.0543121248178531e-03
1.8075313807531378e-06,-7.8151527672316624e-03,-2.3414655219865896e-02,1.5599502452634233e-02
1.8242677824267780e-06,-4.1742007184739416e-02,-1.8785832969539923e-02,-2.2956174215199493e-02
1.8410041841004181e-06,-4.7308041622444105e-03,-1.4154766269958950e-02,9.4239621077145397e-03
1.8577405857740583e-06,-3.1109171883123522e-03,-9.5339368015109199e-03,6.4230196131985677e-03
1.8744769874476985e-06,-1.1045741152516846e-02,-4.9354479522951203e-03,-6.1102932002217256e-03
1.8912133891213387e-06,-1.9319156193571260e-02,-3.7100692470470875e-04,-1.8948149268866551e-02
1.9079497907949789e-06,7.9095159338427520e-03,4.1480919335647286e-03,3.7614240002780235e-03
1.9246861924686191e-06,3.2810536327768838e-03,8.6109825583570963e-03,-5.3299289255802126e-03
1.9414225941422594e-06,1.9039268918132242e-02,1.3007241345087201e-02,6.0320275730450408e-03
1.9581589958158992e-06,2.0122663711586615e-02,1.7326900062355093e-02,2.7957636492315224e-03
1.9748953974895394e-06,4.7978132196868903e-02,2.1560457496557606e-02,2.6417674700311297e-02
1.9916317991631796e-06,2.4419713548020042e-02,2.5698889823907084e-02,-1.2791762758870423e-03
2.0083682008368198e-06,1.6609928335792581e-02,2.9733659709226267e-02,-1.3123731373433686e-02
2.0251046025104600e-06,3.8489822024358508e-02,3.3656724133796882e-02,4.8330978905616259e-03
2.0418410041841002e-06,4.2817603333940177e-02,3.7460540957405392e-02,5.3570623765347852e-03
2.0585774058577405e-06,6.3494324848870659e-02,4.1138074222537610e-02,2.2356250626333049e-02
2.0753138075313803e-06,5.9087666704694432e-02,4.4682798211412814e-02,1.4404868493281618e-02
2.0920502092050205e-06,5.5228429824940910e-02,4.8088700269236347e-02,7.1397295557045631e-03
2.1087866108786607e-06,7.4993918105733332e-02,5.1350282409642872e-02,2.3643635696090459e-02
2.1255230125523009e-06,3.8231865312606375e-02,5.4462561720842739e-02,-1.6230696408236364e-02
2.1422594142259411e-06,4.9331694302833309e-02,5.7421069593419430e-02,-8.0893752905861205e-03
2.1589958158995813e-06,4.7736009145197683e-02,6.0221849793092044e-02,-1.2485840647894361e-02
2.1757322175732216e-06,5.8333019118788285e-02,6.2861455404019495e-02,-4.5284362852312104e-03
2.1924686192468618e-06,4.5911543157560269e-02,6.5336944670400063e-02,-1.9425401512839793e-02
2.2092050209205020e-06,7.8304730820570517e-02,6.7645875766189051e-02,1.0658855054381466e-02
2.2259414225941418e-06,6.7492019631974084e-02,6.9786300524734932e-02,-2.2942808927608471e-03
2.2426778242677820e-06,5.0642203079564796e-02,7.1756757161993950e-02,-2.1114554082429154e-02
2.2594142259414222e-06,5.9179847020476267e-02,7.3556262028747793e-02,-1.4376415008271526e-02
2.2761506276150624e-06,8.0655492327174449e-02,7.5184300428892181e-02,5.4711918982822683e-03
2.2928870292887027e-06,8.9894119713930756e-02,7.6640816542401527e-02,1.3253303171529229e-02
2.3096234309623429e-06,1.0847341671343157e-01,7.7926202492993313e-02,3.0547214220438254e-02
2.3263598326359831e-06,1.2326245692072671e-01,7.9041286601820915e-02,4.4221170318905795e-02
2.3430962343096229e-06,8.6636016880350150e-02,7.9987320869707834e-02,6.6486960106423160e-03
2.3598326359832631e-06,6.6277304109410892e-02,8.0765967731505281e-02,-1.4488663622094389e-02
2.3765690376569033e-06,4.9677570974474505e-02,8.1379286127101214e-02,-3.1701715152626708e-02
2.3933054393305436e-06,8.6051831288587330e-02,8.1829716934437219e-02,4.2221143541501110e-03
2.4100418410041838e-06,7.0062915072731116e-02,8.2120067810598329e-02,-1.2057152737867213e-02
2.4267782426778240e-06,7.6093836712931615e-02,8.2253497487626559e-02,-6.1596607746949444e-03
2.4435146443514642e-06,7.3059838070435174e-02,8.2233499570179849e-02,-9.1736614997446758e-03
2.4602510460251044e-06,7.9900397337694731e-02,8.2063885882505794e-02,-2.1634885448110625e-03
2.4769874476987446e-06,9.7631046761792045e-02,8.1748769412432670e-02,1.5882277349359375e-02
2.4937238493723844e-06,8.3488775033158935e-02,8.1292546900195023e-02,2.1962281329639122e-03
2.5104602510460247e-06,7.8112610824489448e-02,8.0699881119911956e-02,-2.5872702954225085e-03
2.5271966527196649e-06,6.4188797152172031e-02,7.9975682901423428e-02,-1.5786885749251398e-02
2.5439330543933051e-06,5.3712430294023672e-02,7.9125092939965724e-02,-2.5412662645942052e-02
2.5606694560669453e-06,7.0530145296355554e-02,7.8153463440834792e-02,-7.6233181444792381e-03
2.5774058577405855e-06,7.5898732297412980e-02,7.7066339645746329e-02,-1.1676073483333493e-03
2.5941422594142257e-06,1.0199950441803454e-01,7.5869441287059525e-02,2.6130063130975018e-02
2.6108786610878655e-06,7.6110042686285878e-02,7.4568644015385516e-02,1.5413986709003624e-03
2.6276150627615058e-06,8.7478701735679343e-02,7.3169960845362120e-02,1.4308740890317223e-02
2.6443514644351460e-06,6.3742312596374653e-02,7.1679523663539468e-02,-7.9372110671648149e-03
2.6610878661087862e-06,5.1870408026252729e-02,7.0103564841393462e-02,-1.8233156815140733e-02
2.6778242677824264e-06,5.3505609432374188e-02,6.8448398995470366e-02,-1.4942789563096179e-02
2.6945606694560666e-06,5.5373095512380656e-02,6.6720404935568689e-02,-1.1347309423188033e-02
2.7112970711297068e-06,9.6385373528939305e-02,6.4926007840685349e-02,3.1459365688253957e-02
2.7280334728033471e-06,5.0288488010247850e-02,6.3071661701201848e-02,-1.2783173690953997e-02
2.7447698744769873e-06,7.3288111623187546e-02,6.1163832064460633e-02,1.2124279558726914e-02
2.7615062761506271e-06,4.5225265432356498e-02,5.9208979119491932e-02,-1.3983713687135434e-02
2.7782426778242673e-06,7.0764439559319103e-02,5.7213541155196529e-02,1.3550898404122574e-02
2.7949790794979075e-06,6.0556361701905363e-02,5.5183918424778405e-02,5.3724432771269579e-03
2.8117154811715477e-06,5.0399609979704676e-02,5.3126457447655928e-02,-2.7268474679512517e-03
2.8284518828451879e-06,5.0086819082863172e-02,5.1047435778465614e-02,-9.6061669560244117e-04
2.8451882845188282e-06,3.8813594032856696e-02,4.8953047271114623e-02,-1.0139453238257927e-02
2.8619246861924684e-06,5.3257689555351630e-02,4.6849387864138413e-02,6.4083016912132168e-03
2.8786610878661082e-06,3.7672947317707900e-02,4.4742441911889655e-02,-7.0694945941817550e-03
2.8953974895397484e-06,2.4050321388263254e-02,4.2638069084319136e-02,-1.8587747696055881e-02
2.9121338912133886e-06,2.1213243318837029e-02,4.0541991856322478e-02,-1.9328748537485448e-02
2.9288702928870288e-06,4.0935635588803441e-02,3.8459783605817421e-02,2.4758519829860201e-03
2.9456066945606690e-06,6.0019560205256242e-02,3.6396857337891560e-02,2.3622702867364682e-02
2.9623430962343093e-06,3.6746382270670182e-02,3.4358455050525122e-02,2.3879272201450599e-03
2.9790794979079495e-06,3.0612083789415972e-02,3.2349637755549804e-02,-1.7375539661338320e-03
2.9958158995815897e-06,3.4760732443525101e-02,3.0375276166662316e-02,4.3854562768627856e-03
3.0125523012552299e-06,4.8186073648804187e-02,2.8440042064467656e-02,1.9746031584336531e-02
3.0292887029288697e-06,3.0054802054051921e-02,2.6548400346693330e-02,3.5064017073585911e-03
3.0460251046025099e-06,1.8817550402744333e-02,2.4704601769892278e-02,-5.8870513671479448e-03
3.0627615062761502e-06,3.9846405777180037e-02,2.2912676387144310e-02,1.6933729390035727e-02
3.0794979079497904e-06,2.8010876294454271e-02,2.1176427684477861e-02,6.8344486099764096e-03
3.0962343096234306e-06,4.3003546080090806e-02,1.9499427416970236e-02,2.3504118663120570e-02
3.1129707112970708e-06,2.1166767917675772e-02,1.7885011143746660e-02,3.2817567739291120e-03
3.1297071129707110e-06,-1.4314635154592317e-03,1.6336274459395804e-02,-1.7767737974855036e-02
3.1464435146443508e-06,-5.0005557976008658e-03,1.4856069917647657e-02,-1.9856625715248523e-02
3.1631799163179910e-06,3.8943370767873846e-02,1.3447004641529871e-02,2.5496366126343976e-02
3.1799163179916313e-06,3.8765590622891546e-02,1.2111438612629487e-02,2.6654152010262059e-02
3.1966527196652715e-06,9.0244309345561685e-03,1.0851483630543404e-02,-1.8270526959872357e-03
3.2133891213389117e-06,4.8531666921442247e-03,9.6690029321059821e-03,-4.8158362399617575e-03
3.2301255230125519e-06,3.1484977710626291e-02,8.5656114585373720e-03,2.2919366252088919e-02
3.2468619246861921e-06,-8.0002632608513792e-03,7.5426767572676773e-03,-1.5542940018119056e-02
3.2635983263598323e-06,-5.6926525054431017e-03,6.6013205038568980e-03,-1.2293973009300000e-02
3.2803347280334726e-06,1.6582418529289759e-02,5.7424206281571945e-03,1.0839997901132565e-02
3.2970711297071124e-06,2.9961111063382326e-04,4.9666140276493284e-03,-4.6670029170155052e-03
3.3138075313807526e-06,5.5101806213168339e-03,4.2742998497356036e-03,1.2358807715812303e-03
3.3305439330543928e-06,2.5858484708184046e-03,3.6656433236853872e-03,-1.0797948528669826e-03
3.3472803347280330e-06,9.6335457423924672e-03,3.1405801219092852e-03,6.4929656204831820e-03
3.3640167364016732e-06,2.5296114254340824e-02,2.6988212292882278e-03,2.2597293025052596e-02
3.3807531380753134e-06,5.2375001747080024e-03,2.3398582983999751e-03,2.8976418763080273e-03
3.3974895397489537e-06,1.3312681505490311e-02,2.0629694676742964e-03,1.1249712037816014e-02
3.4142259414225935e-06,-2.7245124921173078e-02,1.8672256187666353e-03,-2.9112350539939713e-02
3.4309623430962337e-06,2.7082793521407043e-03,1.7514970487711029e-03,9.5678230336960135e-04
3.4476987447698739e-06,-9.2014862586998480e-03,1.7144605322961005e-03,-1.0915946790995949e-02
3.4644351464435141e-06,-1.4752608624127202e-02,1.7546067479016353e-03,-1.6507215372028837e-02
3.4811715481171543e-06,-9.4871486567104264e-03,1.8702480429450517e-03,-1.1357396699655478e-02
3.4979079497907945e-06,-1.1001743153334570e-03,2.0595265105025906e-03,-3.1597008258360476e-03
3.5146443514644348e-06,1.7945653861058501e-02,2.3204223517270493e-03,1.5625231509331452e-02
3.5313807531380750e-06,-1.5326676500825358e-02,2.6507624967661812e-03,-1.7977438997591539e-02
3.5481171548117152e-06,5.4550713951631987e-03,3.0482294572029001e-03,2.4068419379602987e-03
3.5648535564853550e-06,-1.7787723733891569e-03,3.5103703828842266e-03,-5.2891427562733835e-03
3.5815899581589952e-06,1.1160097472956891e-03,4.0346062959825506e-03,-2.9185965486868614e-03
3.5983263598326354e-06,2.1676250788095333e-02,4.6182414751766467e-03,1.7058009312918686e-02
3.6150627615062757e-06,1.5364006969378695e-02,5.2584729629523777e-03,1.0105534006426317e-02
3.6317991631799159e-06,2.8061339170183140e-02,5.9524001691999354e-03,2.2108939000983204e-02
3.6485355648535561e-06,6.4385804775754646e-03,6.6970345445269280e-03,-2.5845406695146345e-04
3.6652719665271963e-06,-8.8253352610422747e-04,7.4893092970112658e-03,-8.3718428231154933e-03
3.6820083682008361e-06,7.0406808855985152e-03,8.3260891264828919e-03,-1.2854082408843767e-03
3.6987447698744763e-06,1.4916314963781794e-02,9.2041799508482992e-03,5.7121350129334947e-03
3.7154811715481165e-06,1.4842889730238935e-02,1.0120338599453046e-02,4.7225511307858892e-03
3.7322175732217568e-06,-3.1242269802310568e-03,1.1071282449013554e-02,-1.4195509429244611e-02
3.7489539748953970e-06,1.5474853981112617e-02,1.2053698978238121e-02,3.4211550028744962e-03
3.7656903765690372e-06,1.8542170651511248e-02,1.3064255217896212e-02,5.4779154336150361e-03
3.7824267782426774e-06,5.3904132957186442e-02,1.4099607073781061e-02,3.9804525883405384e-02
3.7991631799163176e-06,4.5336724487255869e-02,1.5156408500743445e-02,3.0180315986512427e-02
3.8158995815899578e-06,5.4429259548955874e-03,1.6231320506747558e-02,-1.0788394551851970e-02
3.8326359832635976e-06,1.5000588709085931e-02,1.7321019966715628e-02,-2.3204312576296966e-03
3.8493723849372383e-06,-1.5615012693448622e-03,1.8422208226778775e-02,-1.9983709496123638e-02
3.8661087866108781e-06,1.2614163273748202e-02,1.9531619480437877e-02,-6.9174562066896747e-03
3.8828451882845187e-06,2.7296203282670219e-02,2.0646028899057041e-02,6.6501743836131777e-03
3.8995815899581585e-06,4.1736936305009562e-02,2.1762260500056609e-02,1.9974675804952952e-02
3.9163179916317983e-06,1.3796507534434026e-02,2.2877194737148759e-02,-9.0806872027147326e-03
3.9330543933054389e-06,1.5997884570003250e-02,2.3987775797951458e-02,-7.9898912279482079e-03
3.9497907949790787e-06,-5.3311267013375907e-03,2.5091018595333654e-02,-3.0422145296671244e-02
3.9665271966527194e-06,2.5494368794547011e-02,2.6184015439879152e-02,-6.8964664533214051e-04
3.9832635983263592e-06,1.3039608563095412e-02,2.7263942381901399e-02,-1.4224333818805987e-02
3.9999999999999998e-06,2.2058408589508846e-02,2.8328065212503820e-02,-6.2696566229949735e-03
