file,line,section,subsection,paragraph,equation_label,text
SST_CANON-v0.8.31.tex,1353,Formal Foundations,Density Ontology and Backward-Compatible Symbol Rule,,,$r_c$ normalization and the calibrated $\rhoF$; see
SST_CANON-v0.8.31.tex,1419,Formal Foundations,Circulation Quantization,,,"\textbf{[DERIVED within the calibrated chain]}: In SST, $\Gamma_0$ is no longer an independent input but follows from Eq.~\ref{eq:rc_definition}. Since $\rc$ itself carries the [CALIBRATED CHAIN GUARD] of Subsection~\ref{subsec:derived_horn_circulation_radius}, this derived status is relative to the calibrated primitive set $(\rhoF,\vchar,\omega_c)$; it must not be cited as an independent hydrodynamic derivation of the circulation quantum."
SST_CANON-v0.8.31.tex,1705,Formal Foundations,Density and Inertia Hierarchy,,,\rhoF\equiv\rhoEff
SST_CANON-v0.8.31.tex,1709,Formal Foundations,Density and Inertia Hierarchy,,,"&= \tfrac12 \rhoF \, \vchar{}^2"
SST_CANON-v0.8.31.tex,1728,Formal Foundations,Density and Inertia Hierarchy,,,"\textbf{[CANON / NON-IDENTIFICATION]}: Numerical or dimensional agreement between two entries does not identify their physical roles. In particular, $\rhoSub$, $\rhoF$, $\Jomega$, $\muell$, and $\rhohorn$ remain distinct unless a separately labeled constitutive theorem relates them."
SST_CANON-v0.8.31.tex,1799,Formal Foundations,Reparametrized Zero-Parameter Corollary,,,"Older SST canon layers often used the triplet $(\Gamma_0,\rhoF,\rc)$ as the primitive parameterization. In the present \canonversion{} architecture, Eq.~\eqref{eq:rc_definition} and Eq.~\eqref{eq:gamma0} show that this is a reparameterization of the present primitive calibration set $(\rhoF,\vchar,\omega_c)$ rather than a distinct axiom."
SST_CANON-v0.8.31.tex,1809,Formal Foundations,Reparametrized Zero-Parameter Corollary,,,"Hence any dimensional SST quantity written in terms of $(\Gamma_0,\rhoF,\rc)$ can be rewritten in terms of $(\rhoF,\vchar,\omega_c)$ with no new calibration input."
SST_CANON-v0.8.31.tex,1814,Formal Foundations,Reparametrized Zero-Parameter Corollary,,,"\rhoF = K\,\Omega,"
SST_CANON-v0.8.31.tex,1836,Formal Foundations,Canonical Master Equation,,,"\rhoE(x,t) &= \frac{1}{2}\rhoF\,\norm{\uswirl(x,t)}^2 \\"
SST_CANON-v0.8.31.tex,1843,Formal Foundations,Canonical Master Equation,,,$\rhoF\equiv\rhoEff$ is the calibrated quasi-static response coefficient.
SST_CANON-v0.8.31.tex,1846,Formal Foundations,Canonical Master Equation,,,It must not be represented by silently promoting $\rhoF$ to a local
SST_CANON-v0.8.31.tex,1907,Formal Foundations,Canonical Master Equation,,,"&= \left( \frac{\rhoF\,\norm{\uswirl(x,t)}^2}{2c^2} \right)"
SST_CANON-v0.8.31.tex,1923,Formal Foundations,Canonical Master Equation,,,"\left[ \frac{\rhoF\,\norm{\uswirl}^2}{c^2} \rc^3 \right] = \mathrm{kg}"
SST_CANON-v0.8.31.tex,1961,Formal Foundations,Summary of Dependency Structure,,,"(\rhoF, \vchar, \omega_c)"
SST_CANON-v0.8.31.tex,1995,Formal Foundations,Maximal Swirl Tension,,,"Within the primitive calibration set $\mathcal{P}_{\mathrm{cal}} = \{\rhoF, \vchar, \omega_c\}$, a characteristic force scale emerges naturally from the Compton energy stored over the canonical circulation cross-section. We define the \emph{maximal swirl tension} as"
SST_CANON-v0.8.31.tex,2205,Axiomatic Framework,Axiom 1: Continuum Substrate,,,effective response $\rhoF\equiv\rhoEff$.  Equations written with
SST_CANON-v0.8.31.tex,2206,Axiomatic Framework,Axiom 1: Continuum Substrate,,,$\rhoF$ in the current Canon are long-wavelength effective-sector
SST_CANON-v0.8.31.tex,2208,Axiomatic Framework,Axiom 1: Continuum Substrate,,,future equality $\rhoSub=\rhoF$ requires an independent homogenization
SST_CANON-v0.8.31.tex,3021,Swirl--Electromagnetic Bridge,Minimal transverse field sector,,,"\frac{\rhoF}{2}\,\lVert \partial_t \mathbf{A}_{\mathrm{eff}}\rVert^2"
SST_CANON-v0.8.31.tex,3032,Swirl--Electromagnetic Bridge,Minimal transverse field sector,,,c_\gamma^2 = \frac{K_\gamma}{\rhoF}.
SST_CANON-v0.8.31.tex,3046,Swirl--Electromagnetic Bridge,Minimal transverse field sector,,,\rhoF c^2
SST_CANON-v0.8.31.tex,3051,Swirl--Electromagnetic Bridge,Minimal transverse field sector,,,"Equation~\eqref{eq:r_phase_torsion_stiffness_target} is dimensionally a shear/torsion stiffness target. Here $\rhoF\equiv\rhoEff$ is the quasi-static inertial coefficient of the displacement field $\mathbf A_{\mathrm{eff}}$, not the unresolved material density $\rhoSub$. Substituting the measured value of~\(c\) calibrates the bridge; it is not yet a microscopic derivation of~\(K_\gamma\)."
SST_CANON-v0.8.31.tex,3186,Swirl--Electromagnetic Bridge,Swirl pressure law,,,\frac{1}{\rhoF}\frac{dp_{\mathrm{swirl}}}{dr} = \frac{v_\theta(r)^2}{r}.
SST_CANON-v0.8.31.tex,3193,Swirl--Electromagnetic Bridge,Swirl pressure law,,,"p_{\mathrm{swirl}}(r) = p_0 + \frac{1}{2}\rhoF \Omega^2 r^2,"
SST_CANON-v0.8.31.tex,3200,Swirl--Electromagnetic Bridge,Swirl pressure law,,,p_{\mathrm{swirl}}(r) = p_\infty - \frac{\rhoF\Gamma^2}{8\pi^2 r^2}.
SST_CANON-v0.8.31.tex,3208,Swirl--Electromagnetic Bridge,Swirl pressure law,,,"p_0 + \rhoF v_0^2 \ln\!\left(\frac{r}{r_0}\right),"
SST_CANON-v0.8.31.tex,3216,Swirl--Electromagnetic Bridge,Swirl pressure law,,,"$\bigl[\rhoF^{-1}\,dp/dr\bigr]=\mathrm{m\,s^{-2}}=\bigl[v_\theta^2/r\bigr]$."
SST_CANON-v0.8.31.tex,3232,Swirl--Electromagnetic Bridge,Lorentz-Type Force Density as Swirl Stress,Status labels.,,"\(\rhoF\), \(\rc\), and \(\vchar\)."
SST_CANON-v0.8.31.tex,3269,Swirl--Electromagnetic Bridge,Lorentz-Type Force Density as Swirl Stress,Swirl-force density.,,\rhoF\mathbf v\times\boldsymbol{\omega}.
SST_CANON-v0.8.31.tex,3274,Swirl--Electromagnetic Bridge,Lorentz-Type Force Density as Swirl Stress,Swirl-force density.,,[\rhoF\mathbf v\times\boldsymbol{\omega}]
SST_CANON-v0.8.31.tex,3289,Swirl--Electromagnetic Bridge,Lorentz-Type Force Density as Swirl Stress,Bernoulli relation and sign convention.,,\frac12\rhoF|\mathbf v|^2
SST_CANON-v0.8.31.tex,3294,Swirl--Electromagnetic Bridge,Lorentz-Type Force Density as Swirl Stress,Bernoulli relation and sign convention.,,"\(\rhoF\) and no external body force,"
SST_CANON-v0.8.31.tex,3296,Swirl--Electromagnetic Bridge,Lorentz-Type Force Density as Swirl Stress,Bernoulli relation and sign convention.,,\rhoF(\mathbf v\cdot\nabla)\mathbf v
SST_CANON-v0.8.31.tex,3303,Swirl--Electromagnetic Bridge,Lorentz-Type Force Density as Swirl Stress,Bernoulli relation and sign convention.,,\rhoF\mathbf v\times\boldsymbol{\omega}
SST_CANON-v0.8.31.tex,3308,Swirl--Electromagnetic Bridge,Lorentz-Type Force Density as Swirl Stress,Bernoulli relation and sign convention.,,\frac12\rhoF|\mathbf v|^2
SST_CANON-v0.8.31.tex,3358,Swirl--Electromagnetic Bridge,Lorentz-Type Force Density as Swirl Stress,Canonical scales.,,\rhoF
SST_CANON-v0.8.31.tex,3374,Swirl--Electromagnetic Bridge,Lorentz-Type Force Density as Swirl Stress,Canonical scales.,,\frac12\rhoF\vchar{}^2
SST_CANON-v0.8.31.tex,3390,Swirl--Electromagnetic Bridge,Lorentz-Type Force Density as Swirl Stress,Canonical conclusion.,,\rhoF\mathbf v\times\boldsymbol{\omega}
SST_CANON-v0.8.31.tex,3392,Swirl--Electromagnetic Bridge,Lorentz-Type Force Density as Swirl Stress,Canonical conclusion.,,\rhoF
SST_CANON-v0.8.31.tex,3395,Swirl--Electromagnetic Bridge,Lorentz-Type Force Density as Swirl Stress,Canonical conclusion.,,\rhoF(\mathbf v\cdot\nabla)\mathbf v .
SST_CANON-v0.8.31.tex,3863,Spectroscopic Constraints,Precision electroweak bridge: lessons from the CMS \texorpdfstring{$W$,Latent-to-observable map.,,"\rhoF^{\rm eff},\,"
SST_CANON-v0.8.31.tex,3874,Spectroscopic Constraints,Precision electroweak bridge: lessons from the CMS \texorpdfstring{$W$,Latent-to-observable map.,,\item $\rhoF^{\rm eff}$ and $\uswirl^{\rm eff}$ are the coarse-grained medium density and effective local swirl-velocity field seen by the excitation.
SST_CANON-v0.8.31.tex,4667,Relational Time Framework,Canonical Electromagnetic--Gravity Closure,Gravity projection.,,\frac{1}{\rhoF}\frac{dp_{\mathrm{swirl}}}{dr}
SST_CANON-v0.8.31.tex,4773,Relational Time Framework,Canonical Electromagnetic--Gravity Closure,Numerical hierarchy.,,\frac{1}{2}\rhoF\vchar{}^2
SST_CANON-v0.8.31.tex,4854,Relational Time Framework,Triadic Gravity-Response Corollary,Local Euler locking of pressure and optical projections.,,"region with constant \(\rhoF\), the pressure and optical projections are not"
SST_CANON-v0.8.31.tex,4859,Relational Time Framework,Triadic Gravity-Response Corollary,Local Euler locking of pressure and optical projections.,,"-\frac{1}{2}\rhoF\lVert\uswirl\rVert^2,"
SST_CANON-v0.8.31.tex,4878,Relational Time Framework,Triadic Gravity-Response Corollary,Local Euler locking of pressure and optical projections.,,-\frac{\delta p_{\mathrm{swirl}}}{\rhoF c^2}
SST_CANON-v0.8.31.tex,4890,Relational Time Framework,Triadic Gravity-Response Corollary,Local Euler locking of pressure and optical projections.,,"With \(\rhoF=7.0\times10^{-7}\,\mathrm{kg\,m^{-3}}\),"
SST_CANON-v0.8.31.tex,4892,Relational Time Framework,Triadic Gravity-Response Corollary,Local Euler locking of pressure and optical projections.,,\frac{1}{\rhoF c^2}
SST_CANON-v0.8.31.tex,4896,Relational Time Framework,Triadic Gravity-Response Corollary,Local Euler locking of pressure and optical projections.,,\frac{1}{2}\rhoF\vchar{}^2
SST_CANON-v0.8.31.tex,5160,Integration of Prior Canon Versions,Retained from the early canon layers,,,"\item a continuum substrate with unfixed material density $\rhoSub$, represented in the current long-wavelength sector by the calibrated effective response $\rhoF\equiv\rhoEff$,"
SST_CANON-v0.8.31.tex,5194,Integration of Prior Canon Versions,Notation and density cleanup,,,\rhoF\equiv\rhoEff
SST_CANON-v0.8.31.tex,5219,Integration of Prior Canon Versions,Notation and density cleanup,,,"$\Jomega$ in $\mathrm{kg\,m^{-1}}$ and $\rhoF$ in"
SST_CANON-v0.8.31.tex,5554,Integration of Prior Canon Versions,Hydrodynamic Exchange and the Pauli Barrier,,,\frac{\rho_{\!f}\Gamma_1\Gamma_2}{4\pi}
SST_CANON-v0.8.31.tex,5565,Integration of Prior Canon Versions,Hydrodynamic Exchange and the Pauli Barrier,,,\frac{\rho_{\!f}\Gamma_0^2}{4\pi}
SST_CANON-v0.8.31.tex,5575,Integration of Prior Canon Versions,Hydrodynamic Exchange and the Pauli Barrier,,,\frac{\rho_{\!f}\Gamma_0^2}{4\pi}\left(\frac{L}{a_{\rm cut}}\right)\mathcal{O}(1).
SST_CANON-v0.8.31.tex,5581,Integration of Prior Canon Versions,Hydrodynamic Exchange and the Pauli Barrier,,,"\rho_{\!f} &= 7.0 \times 10^{-7}\ \mathrm{kg\,m^{-3}}, \nonumber\\"
SST_CANON-v0.8.31.tex,5638,Integration of Prior Canon Versions,Numerical Benchmark Layer,,,"\item normalization of legacy constant names into SST notation (\(\rhoF,\rc,\Gamma_0\)) while preserving numerical values."
SST_CANON-v0.8.31.tex,5712,Discussion and Limits,What is established at canon level,,,"\item the primitive constant chain $(\rhoF, v_{\swirlarrow}, \omega_c) \to R_{\mathrm{horn}}\equiv r_c \to \Gamma_0$,"
SST_CANON-v0.8.31.tex,5862,Historical Notebook and Proto-Canon Provenance Register,High-priority source concordance,,,"\texttt{VAM7-DENSITY-2025} & Electron energy assigned to $\omega=\alpha\omega_c$ over $r_e^3/3$, producing the inherited decimal. & Reclassified as $\Jomega^{\rm VAM}$ with units $\mathrm{kg\,m^{-1}}$; no derivation of $\rhoF$ follows. \\"
SST_CANON-v0.8.31.tex,5891,Topological reference toolkit,,,,"\textbf{[ORTHODOX]}: each item is classical mathematics \cite{Moffatt1969,White1969,Batchelor1967}. \textbf{[DERIVED]}: scope and notation for v0.8.x are frozen to this list plus house symbols $(\rhoF,\Gamma,\rc,\mathcal{H})$ without parallel aliases."
SST_CANON-v0.8.31.tex,6077,Conversation-Derived Insights,Canon edition notes,,,and defines $\rhoF$ exclusively as the quasi-static isotropic limit
SST_CANON-v0.8.31.tex,6083,Conversation-Derived Insights,Canon edition notes,,,"$\rhoF\equiv\rhoEff$, introduces distinct notation for rotational"
SST_CANON-v0.8.31.tex,6086,Conversation-Derived Insights,Canon edition notes,,,forbids dimensionally invalid $\rhoF|\boldsymbol\omega|^2$ energy
SST_CANON-v0.8.31.tex,6087,Conversation-Derived Insights,Canon edition notes,,,"expressions without a derived squared length, freezes $\rhoF$ as a"
SST_CANON-v0.8.31.tex,6093,Conversation-Derived Insights,Canon edition notes,,,"\textbf{v0.8.29} strengthens the provenance guard for the calibrated background density $\rhoF$, distinguishes two-significant-figure notation from a statistical uncertainty model, adds the primitive dependency guard preventing unsupported propagation into $\vchar$, $\omega_c$, $\rc$, or the Compton chain, and audits the research-track cosmological impedance/SSDL route through an explicit epoch-invariance gate, covariance-aware precision guard, exact large-number identity, and force-hierarchy reformulation on top of v0.8.28."
SST_CANON-v0.8.31.tex,6144,Conversation-Derived Insights,Canon edition notes,,,"\textbf{v0.8.12} applies the Gemini round-3 epistemic audit: $\mathcal{P}_{\mathrm{cal}}$-aligned identity relabels, coarse-grain density caveat, Pauli $a_{\rm cut}$ disambiguation, galaxy-scale $\rhoF$ note, and research-track EM-bridge limits on top of v0.8.11."
SST_CANON-v0.8.31.tex,6436,Conversation-Derived Insights,Trefoil closure and persistence discipline,Domain-spectral helicity optimization guard.,,$\tfrac12\rhoF\int|\uswirl|^2d^3x$.  The two optimization problems must
SST_CANON-v0.8.31.tex,6721,Effective Quantum Bridge,Purpose and status,,,"\textbf{[CRITICAL NOTE]}: $\rho_\psi$ is a coarse-grained mode-support density of the emergent carrier field, \emph{not} a compression of the incompressible material substrate $\rhoSub$ (Axiom~1, $\nabla\cdot\mathbf v=0$). It is also distinct from the calibrated quasi-static response $\rhoF\equiv\rhoEff$. These are different objects, so the Madelung amplitude does not violate substrate incompressibility."
SST_CANON-v0.8.31.tex,6821,Dark-Sector and Galactic Continuum Law,Purpose and status,,,"\textbf{[CRITICAL NOTE]} The canonical \(\rhoF=7.0\times10^{-7}\,\mathrm{kg\,m^{-3}}\) is an effective medium parameter, not an ordinary gravitating baryonic/cosmological rest-mass density. Applying it on galactic scales requires a separate coupling and screening law. Without that law, the galaxy-scale pressure profile is a fit ansatz only and must not be interpreted as a literal dense fluid through which stars experience ordinary hydrodynamic drag."
SST_CANON-v0.8.31.tex,6826,Dark-Sector and Galactic Continuum Law,Effective dark acceleration law,,,\frac{1}{\rhoF}\frac{dp_{\mathrm{swirl}}}{dr}
SST_CANON-v0.8.31.tex,6834,Dark-Sector and Galactic Continuum Law,Effective dark acceleration law,,,\frac{1}{\rhoF}\frac{dp_{\mathrm{swirl}}}{dr}.
SST_CANON-v0.8.31-research-track.tex,322,Dark-sector and galactic canonization execution package (v0.8.x),Stage-0 freeze: topology toolkit and benchmark protocol,,,"\rhoF,\quad v_\theta(r),\quad p_{\mathrm{swirl}}(r),\quad"
SST_CANON-v0.8.31-research-track.tex,341,Dark-sector and galactic canonization execution package (v0.8.x),Stage-1 freeze: dark-sector Euler pressure anchor,,,\frac{1}{\rhoF}\frac{dp_{\mathrm{swirl}}}{dr}
SST_CANON-v0.8.31-research-track.tex,353,Dark-sector and galactic canonization execution package (v0.8.x),Stage-1 freeze: dark-sector Euler pressure anchor,,,p_0 + \rhoF v_0^2\ln\!\left(\frac{r}{r_0}\right).
SST_CANON-v0.8.31-research-track.tex,361,Dark-sector and galactic canonization execution package (v0.8.x),Stage-1 freeze: dark-sector Euler pressure anchor,,,\left[\frac{1}{\rhoF}\frac{dp}{dr}\right]
SST_CANON-v0.8.31-research-track.tex,373,Dark-sector and galactic canonization execution package (v0.8.x),Stage-1 freeze: dark-sector Euler pressure anchor,,,"\textbf{[CRITICAL NOTE]}: Applying Eq.~\eqref{eq:exec_swirl_pressure} unscreened with the microscopic $\rhoF=7.0\times10^{-7}\,\mathrm{kg\,m^{-3}}$ at galactic scales ($v_\theta\sim200\,\mathrm{km\,s^{-1}}$, $r\sim10\,\mathrm{kpc}$) gives $dp/dr\sim10^{-16}\,\mathrm{Pa\,m^{-1}}$ and $\Delta p\sim2.8\times10^{3}\,\mathrm{Pa}$ over $1\,\mathrm{kpc}$, far above the observed ISM. The swirl pressure is not the thermal ISM pressure, but no screening/scaling law for $\rhoF$ across scales is yet derived; this sector stays research-track and is falsifiable on exactly this point."
SST_CANON-v0.8.31-research-track.tex,488,"Candidate CANON-v0.8.x Modules from Swirl-Flux, Envelope, and Reconnection Analysis",,,,\providecommand{\rhoF}{\rho_{\!f}}
SST_CANON-v0.8.31-research-track.tex,699,"Candidate CANON-v0.8.x Modules from Swirl-Flux, Envelope, and Reconnection Analysis",R/T Pseudomomentum--Impulse Exchange,,,\frac{\rhoF}{2}
SST_CANON-v0.8.31-research-track.tex,715,"Candidate CANON-v0.8.x Modules from Swirl-Flux, Envelope, and Reconnection Analysis",R/T Pseudomomentum--Impulse Exchange,,,\rhoF\Gamma\pi R^2\hat{\mathbf n}.
SST_CANON-v0.8.31-research-track.tex,791,"Candidate CANON-v0.8.x Modules from Swirl-Flux, Envelope, and Reconnection Analysis",Spherical Pressure Envelopes,,,\rhoF(\mathbf v\cdot\nabla)\mathbf v .
SST_CANON-v0.8.31-research-track.tex,797,"Candidate CANON-v0.8.x Modules from Swirl-Flux, Envelope, and Reconnection Analysis",Spherical Pressure Envelopes,,,\rhoF\frac{v_\theta^2(r)}{r}.
SST_CANON-v0.8.31-research-track.tex,807,"Candidate CANON-v0.8.x Modules from Swirl-Flux, Envelope, and Reconnection Analysis",Spherical Pressure Envelopes,,,"\rhoF\frac{\Gamma^2}{4\pi^2r^3},"
SST_CANON-v0.8.31-research-track.tex,815,"Candidate CANON-v0.8.x Modules from Swirl-Flux, Envelope, and Reconnection Analysis",Spherical Pressure Envelopes,,,\frac{\rhoF\Gamma^2}{8\pi^2r^2}.
SST_CANON-v0.8.31-research-track.tex,823,"Candidate CANON-v0.8.x Modules from Swirl-Flux, Envelope, and Reconnection Analysis",Spherical Pressure Envelopes,,,\frac{\rhoF\Gamma^2}{8\pi^2r^2}
SST_CANON-v0.8.31-research-track.tex,825,"Candidate CANON-v0.8.x Modules from Swirl-Flux, Envelope, and Reconnection Analysis",Spherical Pressure Envelopes,,,\frac{1}{2}\rhoF v_\theta^2(r).
SST_CANON-v0.8.31-research-track.tex,830,"Candidate CANON-v0.8.x Modules from Swirl-Flux, Envelope, and Reconnection Analysis",Spherical Pressure Envelopes,,,\frac{1}{2}\rhoF\vchar{}^2
SST_CANON-v0.8.31-research-track.tex,965,"Candidate CANON-v0.8.x Modules from Swirl-Flux, Envelope, and Reconnection Analysis",Non-Holonomic Gravity Claims,,,\providecommand{\rhoF}{{\rho_{\!f}}}
SST_CANON-v0.8.31-research-track.tex,1255,Mode-Locked Swirl-Coil Excitation and \texorpdfstring{$\vchar=f\Delta x$,Canonical interpretation,,,\frac{1}{2}\rhoF \vnorm^2.
SST_CANON-v0.8.31-research-track.tex,1259,Mode-Locked Swirl-Coil Excitation and \texorpdfstring{$\vchar=f\Delta x$,Canonical interpretation,,,"\rhoF = 7.0\times10^{-7}\,\mathrm{kg\,m^{-3}},"
SST_CANON-v0.8.31-research-track.tex,1759,"Research Appendices: Topology, Stability, and Fluid Mechanics",Research Appendix: Reconnection Decay as a Stability Falsifier,Energetic jump condition.,,"\frac{\rhoF\Gamma_0^2}{4\pi}\,"
SST_CANON-v0.8.31-research-track.tex,1766,"Research Appendices: Topology, Stability, and Fluid Mechanics",Research Appendix: Reconnection Decay as a Stability Falsifier,Energetic jump condition.,,[\rhoF\Gamma_0^2\ell_K]
SST_CANON-v0.8.31-research-track.tex,1830,"Research Appendices: Topology, Stability, and Fluid Mechanics",Research Appendix: Reconnection Decay as a Stability Falsifier,Falsification rule.,,"\frac{\rhoF\Gamma^2}{4\pi}\,\ell_K\ln\!\left(\frac{R}{\rc}\right),"
SST_CANON-v0.8.31-research-track.tex,1835,"Research Appendices: Topology, Stability, and Fluid Mechanics",Research Appendix: Reconnection Decay as a Stability Falsifier,Falsification rule.,,[\rhoF\Gamma^2\ell_K]
SST_CANON-v0.8.31-research-track.tex,2075,"Research Appendices: Topology, Stability, and Fluid Mechanics",Research Appendix: Topological Fluid Mechanics and the SST Energy Functional,Falsifier.,,"\frac{\rhoF\Gamma^2}{4\pi}\,\ell_K\ln\!\left(\frac{R}{\rc}\right),"
SST_CANON-v0.8.31-research-track.tex,2087,"Research Appendices: Topology, Stability, and Fluid Mechanics",Research Appendix: Topological Fluid Mechanics and the SST Energy Functional,Falsifier.,,+\frac{\rhoF\Gamma^2}{4\pi}\ell_K\ln\!\left(\frac{R}{\rc}\right)
SST_CANON-v0.8.31-research-track.tex,2146,"Research Appendices: Topology, Stability, and Fluid Mechanics",Research Appendix: Topological Fluid Mechanics and the SST Energy Functional,Energy-symbol guard.,,\frac{\rhoF}{2}\int_{\Omega}|\uswirl|^2d^3x
SST_CANON-v0.8.31-research-track.tex,2258,"Research Appendices: Topology, Stability, and Fluid Mechanics",Research Appendix: Topological Fluid Mechanics and the SST Energy Functional,Operational diagnostics.,,"\item \textbf{[DERIVED]} Within a chosen tube model, derive the units and leading energy scaling from $\rhoF$, $\Gamma$, $\ell_K$, and $\rc$."
SST_CANON-v0.8.31-research-track.tex,3748,Research-Track particle and clock ansatz,Resolved finite-core energy functional,,,\frac{\rhoF\Gamma_K^2}{8\pi}
SST_CANON-v0.8.31-research-track.tex,4405,Research Track: KAM-Caged Knot States,Local induction as the integrable reference layer,,,\frac{\rhoF\Gamma^2}{4\pi}\Lambda.
SST_CANON-v0.8.31-research-track.tex,5086,Research Track: KAM-Caged Knot States,Preregistered falsifiers and promotion rule,Child-level analogy.,,\providecommand{\rhoF}{\rho_{\!f}}
SST_CANON-v0.8.31-research-track.tex,5708,Swirl-String Response and Resonance Framework,Research Track: Quasinormal Swirl Spectroscopy and Spectral-Robustness Gate,,,-\frac{1}{\rhoF}\nabla p_0.
SST_CANON-v0.8.31-research-track.tex,5734,Swirl-String Response and Resonance Framework,Research Track: Quasinormal Swirl Spectroscopy and Spectral-Robustness Gate,,,-\frac{1}{\rhoF}\nabla\pi.
SST_CANON-v0.8.31-research-track.tex,6765,"EM, Gravity, Diagnostics, Relativity, and Inertia Research Tracks",Euler-Decomposed Swirl Gravity and Probe Transport,,,-\frac{1}{\rho_{\!f}}\nabla p_{\mathrm{swirl}}.
SST_CANON-v0.8.31-research-track.tex,6778,"EM, Gravity, Diagnostics, Relativity, and Inertia Research Tracks",Euler-Decomposed Swirl Gravity and Probe Transport,,,-\frac{1}{\rho_{\!f}}\nabla p_{\mathrm{swirl}}.
SST_CANON-v0.8.31-research-track.tex,6788,"EM, Gravity, Diagnostics, Relativity, and Inertia Research Tracks",Euler-Decomposed Swirl Gravity and Probe Transport,,,\rho_{\!f}\Gamma_K
