Paper,SLV,TRC,NWO,CPR,FCP,ES,RC,PEC,Total,Role,Venue,Submission Status
SST-33 Heat Transport,5,4,4,4,4,4,3,4,32,Anchor/Bridge,Physical Review B,rejected
SST-32 Canonical Fluid Reformulation,4,3,4,5,3,2,2,3,26,Capstone,frontiersin,rejected
SST-31 Canon,2,3,3,5,2,1,1,3,20,Internal Canon,,
SST-30 Invariant Atom Masses,4,4,3,5,3,4,4,4,31,Bridge,,
SST-29 Kelvin Mode Suppression,4,5,4,4,4,4,4,4,33,Anchor/Constraint,,
SST-28 Time from Swirl,4,4,5,5,2,3,3,4,30,Bridge/Foundation,,
SST-27 Resonant Topological Vorticity,3,4,4,2,4,1,2,4,24,Internal/Applied,,
SST-26 Neutrinos,2,3,4,3,2,1,2,3,20,Internal/High-risk,,
SST-25 Hydrogenic Orbitals,4,4,4,5,2,3,2,3,27,Support,,
SST-24 Thermodynamics,5,5,4,5,4,4,4,4,35,Anchor,,
SST-23 Dual Vacuum Unification,4,4,5,5,3,3,4,5,33,Anchor/Bridge,,
SST-22 Hydrodynamic Origin Hydrogen Old,4,5,3,5,3,3,4,5,32,"Bridge / Reference",FoP,rejected
SST-21 Knot Taxonomy,4,5,4,5,3,3,4,4,32,"Anchor (Infrastructure)",,
SST-20 Short Hydrodynamic Origin,5,4,4,5,3,4,4,4,33,"Bridge / Mini-Anchor",,
SST-19 Hydrodynamic Origin Hydrogen,4,4,4,5,3,2,3,3,28,"Capstone / Bridge",FoP,rejected
SST-18 Unifying EM Gravity,3,3,4,5,2,2,3,4,26,"Capstone / Bridge",,
SST-17 Photon Torsion Wave,5,4,4,4,4,3,4,4,32,Bridge,"FoP VAM -> SST FoP","rejected, rejected"
SST-16 Non Thermal Field Coupling,3,3,4,4,3,2,2,3,24,"Internal / Research",,
SST-15 Circulation Loop Thermodynamics,5,5,4,4,4,5,5,4,36,Anchor,,
SST-14 Gravitational Behavior,3,3,3,3,4,1,2,4,23,Internal,,
SST-13 Gravitational Modulation,3,3,4,3,2,2,3,3,23,"Support / High-risk",,
SST-12 Swirl Pressure Gravitational Acceleration,4,4,3,4,3,3,4,4,29,Bridge,,
SST-11 Water and Time,3,5,2,5,4,2,5,5,31,Bridge,,
SST-10 Impulsive Axisymmetric Forcing,5,5,3,4,5,4,5,4,35,Anchor,,
SST-09 Energy Impulse Stability,5,5,3,5,4,5,5,4,36,Anchor,,
SST-08 Circulation Rigid Rotation,4,4,4,5,3,4,4,4,32,Bridge,,
SST-07 Rotational Kinetic Energy,5,5,3,5,4,5,5,5,37,Anchor,,
SST-06 Classical Electron Radius,4,4,4,5,3,4,4,4,32,Bridge,"FoP ---> EPJP",consideration
SST-05 Einstein to SST,4,3,3,4,2,3,4,4,27,Bridge,"FoP Entropy","rejected, rejected"
SST-04 Cosmologie,2,2,3,4,1,1,2,3,18,Internal,,
SST-03 Physics Anomalies,3,2,3,4,2,1,2,2,19,Internal,,
SST-02 Knot Classified,3,2,4,5,2,2,3,3,24,Infrastructure,,
SST-01 Rosetta,5,5,3,5,3,5,5,5,36,Anchor,,
SST-00 Lagrangian,4,4,5,5,4,3,4,3,32,Capstone,,
